Table 1
CMANAME,CMAUID,CSDNAME,CSDUID,public_caf,public_ef,public_emp,public_gs,public_hf,public_psef,public_srf,walk_caf,walk_ef,walk_emp,walk_gs,walk_hf,walk_psef,walk_srf,ada_code_n,ADA_code
Toronto,535,Brampton,3521010,0.08598829068,0.199667552515214,0.170409104302778,21.32,0.0705225998631305,0.0102953010175948,0.0832352258790135,0.06921448072,0.143856346309427,0.0255481337643394,5.455634,0.0246883617603028,0,0.0397778188,35210064,  35210064
Toronto,535,Brampton,3521010,0.0539104044285714,0.169862788045743,0.124444618508948,24.6190476190476,0.0526808383265642,0.00339753130942235,0.063230293629066,0,0.146494343526087,0.0234728630375239,8.14400317460318,0.0158073707525556,0,0.0271240088095238,35210067,  35210067
Toronto,535,Brampton,3521010,0.0709440685,0.162444781563201,0.139695042467688,21.9032258064516,0.0551698142953732,0.00608348920904821,0.0697835958461485,0.0741406643125,0.17849157612314,0.0234159270845064,4.55950416666667,0.0280486049121031,0,0.0716939575625,35210068,  35210068
Toronto,535,Brampton,3521010,0.0726282517058824,0.22802250459264,0.213448416914977,17,0.0860541664225891,0.00966850939673079,0.103820613812596,0.004451641,0.088139240255117,0.0285554093214841,4.60364696969697,0.0198828391340984,0,0.0404376971764706,35210069,  35210069
Toronto,535,Brampton,3521010,0.0614040245714286,0.179494550859728,0.137415879077197,23.2571428571429,0.0574952389088331,0.0049858403157354,0.0696061200685889,0.0170407936571429,0.171498878106831,0.0231573998631382,5.92023238095238,0.0152307567525538,0,0.0391509668857143,35210070,  35210070
Toronto,535,Brampton,3521010,0.068993959625,0.21090396561405,0.183170723268846,13.34375,0.07589415000989,0.00745876620326719,0.0954460651838329,0.004126692125,0.14045094177393,0.0280057801913675,3.72596129032258,0.0248004920057405,0,0.0662804656875,35210071,  35210071
Toronto,535,Brampton,3521010,0.0443205162941177,0.15537701624779,0.116269999600536,15.3137254901961,0.04845322169482,0.00336883604261398,0.0616302931483164,0.000863290705882353,0.135793958771184,0.0230217522826653,3.36272679738562,0.0175828751363078,0,0.055722851254902,35210072,  35210072
Toronto,535,Mississauga,3521005,0.119992756794118,0.262413323250027,0.251422599809799,16.2941176470588,0.147062385777765,0.0244148417912491,0.169359487352053,0.00204926679411765,0.0889727842431373,0.0213281061578825,5.00774656862745,0.0209139732410245,0,0.0396619377647059,35210073,  35210073
Toronto,535,Brampton,3521010,0.0498601356666667,0.18121441712181,0.163666064251722,11.8333333333333,0.0675403666928512,0.00465450004009903,0.0801696835604558,0.00358340741666667,0.0977179708917902,0.0332271009872826,2.51565303030303,0.0221088942861674,0,0.0319402318333333,35210074,  35210074
Toronto,535,Brampton,3521010,0.0502167276,0.196833886046381,0.158849371343129,12.7,0.0692979665912885,0.00450653128333165,0.083537057874615,0.00127800185,0.117961724148162,0.0291375106957781,2.7467625,0.024818667499619,0,0.04575990555,35210075,  35210075
